Week of,Prediction,Name,APTA Name,Size,Region,City
2018-12-23,51780.0,Torrance Transit System,Torrance Transit System,2M+,Pacific,Los Angeles
2018-12-23,412963.0,Santa Clara Valley Trp Auth,Santa Clara Valley Trp Auth,"500,000-1.99M",Pacific,SF Bay Area
2018-12-23,1174654.0,RTC of Southern Nevada,RTC of Southern Nevada,"500,000-1.99M",Mountain,Las Vegas
2018-12-23,949820.0,City & Cnty of Honolulu DOTS,City & Cnty of Honolulu DOTS,"500,000-1.99M",Pacific,Oahu
2018-12-23,356247.0,City of Detroit Dept of Trp,City of Detroit Dept of Trp,2M+,East Central,Detroit
2018-12-23,331990.0,Regional Transit Auth,Regional Transit Auth,"500,000-1.99M",West Central,New Orleans
2018-12-23,169203.0,Southwest Ohio RTA,Southwest Ohio RTA,"500,000-1.99M",East Central,Cincinnati
2018-12-23,1812938.0,Metro Atlanta Rapid Tr Auth,Metro Atlanta Rapid Tr Auth,2M+,South-Atlantic,Atlanta
2018-12-23,36423.0,Unitrans,Unitrans,Under 500k,Pacific,Sacramento
2018-12-23,59108.0,"Golden Gate Bridge, Hwy & TD","Golden Gate Bridge, Hwy & TD",2M+,Pacific,SF Bay Area
2018-12-23,82570.0,Trinity Metro,Trinity Metro,2M+,West Central,Dallas
2018-12-23,93650.0,Lane Transit District ,Lane Transit District ,Under 500k,Pacific,Eugene
2018-12-23,39039.0,Santa Cruz Metro Transit Dist,Santa Cruz Metro Transit Dist,Under 500k,Pacific,Santa Cruz
2018-12-23,551756.0,City of Phoenix PTD,City of Phoenix PTD,2M+,Mountain,Phoenix
2018-12-23,800628.0,Port Auth of Allegheny Co,Port Auth of Allegheny Co,"500,000-1.99M",Mid-Atlantic,Pittsburgh
2018-12-23,530761.0,Orange County Transp Auth,Orange County Transp Auth,2M+,Pacific,Los Angeles
2018-12-23,76399.0,GoRaleigh,GoRaleigh,"500,000-1.99M",South-Atlantic,Raleigh
2018-12-23,115876.0,RTC of Washoe County,RTC of Washoe County,Under 500k,Mountain,Reno
2018-12-23,245965.0,City of Tucson MTS,City of Tucson MTS,"500,000-1.99M",Mountain,Tucson
2018-12-23,117404.0,Snohomish County PTBA,Snohomish County PTBA,2M+,Pacific,Seattle
2018-12-23,36543.0,Northern IN Commuter TD,Northern IN Commuter TD,2M+,East Central,Chicago
2018-12-23,131742.0,North County Transit District,North County Transit District,2M+,Pacific,San Diego
2018-12-23,997957.0,Dallas Area Rapid Transit,Dallas Area Rapid Transit,2M+,West Central,Dallas
2018-12-23,165385.0,Foothill Transit,Foothill Transit,2M+,Pacific,Los Angeles
2018-12-23,959171.0,Metro Transit,Metro Transit,2M+,West Central,Minneapolis-Saint Paul
2018-12-23,23207.0,Eastern Contra Costa Tr Auth,Eastern Contra Costa Tr Auth,Under 500k,Pacific,SF Bay Area
2018-12-23,292815.0,Sacramento Reg Tr Dist,Sacramento Reg Tr Dist,"500,000-1.99M",Pacific,Sacramento
2018-12-23,210489.0,Rochester Genesee RTA,Rochester Genesee RTA,"500,000-1.99M",Mid-Atlantic,Rochester
2018-12-23,25680.0,Minnesota Valley Transit Auth,Minnesota Valley Transit Auth,2M+,West Central,Minneapolis-Saint Paul
2018-12-23,43174.0,Salem-Keizer Transit,Salem-Keizer Transit,Under 500k,Pacific,Salem-Keizer
2018-12-23,2440559.0,San Francisco Muni Rwy,San Francisco Muni Rwy,2M+,Pacific,SF Bay Area
2018-12-23,5459214.0,Los Angeles County MTA,Los Angeles County MTA,2M+,Pacific,Los Angeles
2018-12-23,32378.0,Prince Georges County Transp,Prince Georges County Transp,2M+,South-Atlantic,Washington D.C.
2018-12-23,38764.0,Gardena Municipal Bus Lines,Gardena Municipal Bus Lines,2M+,Pacific,Los Angeles
2018-12-23,44718.0,Charleston Area RTA,Charleston Area RTA,"500,000-1.99M",South-Atlantic,Charleston
2018-12-23,640117.0,VIA Metropolitan Transit,VIA Metropolitan Transit,"500,000-1.99M",West Central,San Antonio
2018-12-23,353921.0,Niagara Frontier Trp Auth,Niagara Frontier Trp Auth,"500,000-1.99M",Mid-Atlantic,Buffalo
2018-12-23,139529.0,Metropolitan Transit Auth,Metropolitan Transit Auth,"500,000-1.99M",East Central,Nashville
2018-12-23,39301.0,Marin County Transit District,Marin County Transit District,Under 500k,Pacific,SF Bay Area
2018-12-23,30630.0,PRTC Omni-Ride,PRTC Omni-Ride,2M+,South-Atlantic,Washington D.C.
2018-12-23,114298.0,MTA Staten Island Railway,MTA Staten Island Railway,2M+,Mid-Atlantic,NYC
2018-12-23,4046848.0,Southeastern Penn TA,Southeastern Penn TA,2M+,Mid-Atlantic,Philadelphia
2018-12-23,70535.0,District Dept of Transp,District Dept of Transp,2M+,South-Atlantic,Washington D.C.
2018-12-23,338027.0,Long Beach Transit,Long Beach Transit,2M+,Pacific,Los Angeles
2018-12-23,17898.0,SunRail,SunRail,"500,000-1.99M",South-Atlantic,Orlando
2018-12-23,39459.0,"Arlington County, Virginia","Arlington County, Virginia",2M+,South-Atlantic,Washington D.C.
2018-12-23,34430.0,Santa Clarita Transit,Santa Clarita Transit,Under 500k,Pacific,Los Angeles
2018-12-23,76949.0,Interurban Transit Partnership,Interurban Transit Partnership,"500,000-1.99M",East Central,Grand Rapids
2018-12-23,1522720.0,King County Dept of Trp,King County Dept of Trp,2M+,Pacific,Seattle
2018-12-23,4626.0,City of Redondo Beach,City of Redondo Beach,2M+,Pacific,Los Angeles
2018-12-23,445570.0,Utah Transit Authority,Utah Transit Authority,"500,000-1.99M",Mountain,Salt Lake City
2018-12-23,15242.0,Yolo County Transportation District,Yolo County Transportation District,"500,000-1.99M",Pacific,Sacramento
2018-12-23,37166.0,Tr Auth of Northern Kentucky,Tr Auth of Northern Kentucky,"500,000-1.99M",East Central,Cincinnati
2018-12-23,117237.0,Greater Richmond Transit Company,Greater Richmond Transit Company,"500,000-1.99M",South-Atlantic,Richmond
2018-12-23,26288.0,Madison County Trans Dist,Madison County Trans Dist,2M+,East Central,St. Louis
2018-12-23,1222291.0,San Diego Metrop Transit System,San Diego Metrop Transit System,2M+,Pacific,San Diego
2018-12-23,171225.0,Port Authority Transit Corp,Port Authority Transit Corp,2M+,Mid-Atlantic,Philadelphia
2018-12-23,43792.0,Ann Arbor Transportation Auth,Ann Arbor Transportation Auth,Under 500k,East Central,Ann Arbor
2018-12-23,9112.0,City of Fairfax CUE Bus,City of Fairfax CUE Bus,2M+,South-Atlantic,Washington D.C.
2018-12-23,117501.0,Riverside Transit Agency,Riverside Transit Agency,"500,000-1.99M",Pacific,Los Angeles
2018-12-23,549997.0,Bi-State Dev Agency,Bi-State Dev Agency,2M+,West Central,St. Louis
2018-12-23,154292.0,Palm Beach County STD,Palm Beach County STD,2M+,South-Atlantic,Miami
2018-12-23,229562.0,Pinellas Suncoast Tran Auth,Pinellas Suncoast Tran Auth,2M+,South-Atlantic,Tampa
2018-12-23,1310182.0,Tri-County Metro Trp Dist,Tri-County Metro Trp Dist,"500,000-1.99M",Pacific,Portland
2018-12-23,29985.0,Champaign-Urbana MTD,Champaign-Urbana MTD,Under 500k,East Central,Champaign-Urbana
2018-12-23,209528.0,Caltrain,Caltrain,2M+,Pacific,SF Bay Area
2018-12-23,221034.0,Hampton Roads Transit,Hampton Roads Transit,"500,000-1.99M",South-Atlantic,Hampton Roads
2018-12-23,808485.0,Metra,Metra,2M+,East Central,Chicago
2018-12-23,20555.0,Livermore/Amador Valley TA,Livermore/Amador Valley TA,"500,000-1.99M",Pacific,SF Bay Area
2018-12-23,220355.0,Jacksonville Transp Auth,Jacksonville Transp Auth,"500,000-1.99M",South-Atlantic,Jacksonville
2018-12-23,68123.0,METRO Regional Transit Authority,METRO Regional Transit Authority,"500,000-1.99M",East Central,Cleveland
2018-12-23,1320213.0,MTA Metro-North Railroad,MTA Metro-North Railroad,2M+,Mid-Atlantic,NYC
2018-12-23,498749.0,Alameda-Contra Costa TD,Alameda-Contra Costa TD,2M+,Pacific,SF Bay Area
2018-12-23,15850.0,San Joaquin Reg Rail Comm,San Joaquin Reg Rail Comm,Under 500k,Pacific,SF Bay Area
2018-12-23,1201845.0,Maryland Transit Admin,Maryland Transit Admin,2M+,South-Atlantic,Baltimore
2018-12-23,455570.0,Central Florida RTA,Central Florida RTA,"500,000-1.99M",South-Atlantic,Orlando
2018-12-23,7943.0,Tompkins Consol Area Transit,Tompkins Consol Area Transit,Under 500k,Mid-Atlantic,Ithaca
2018-12-23,15661.0,Denton County Transportation Auth,Denton County Transportation Auth,Under 500k,West Central,Dallas
2018-12-23,208732.0,Rhode Island Public TA,Rhode Island Public TA,Under 500k,New England,Providence
2018-12-23,133399.0,Greater Dayton Regional TA,Greater Dayton Regional TA,"500,000-1.99M",East Central,Dayton
2018-12-23,4694826.0,Washington Metro Area TA,Washington Metro Area TA,2M+,South-Atlantic,Washington D.C.
2018-12-23,54951.0,Transit Auth Lexington-Fayette,Transit Auth Lexington-Fayette,Under 500k,East Central,Lexington
2018-12-23,47817.0,Virginia Railway Express,Virginia Railway Express,2M+,South-Atlantic,Washington D.C.
2018-12-23,323765.0,Capital Metropolitan Trp Auth,Capital Metropolitan Trp Auth,"500,000-1.99M",West Central,Austin
2018-12-23,28585.0,Modesto Area Express,Modesto Area Express,Under 500k,Pacific,Modesto
2018-12-23,42736.0,Central Contra Costa TA,Central Contra Costa TA,"500,000-1.99M",Pacific,SF Bay Area
2018-12-23,5119580.0,Chicago Transit Authority,Chicago Transit Authority,2M+,East Central,Chicago
2018-12-23,56819.0,Culver CityBus,Culver CityBus,2M+,Pacific,Los Angeles
2018-12-30,163662.0,Palm Beach County STD,Palm Beach County STD,2M+,South-Atlantic,Miami
2018-12-30,363539.0,Long Beach Transit,Long Beach Transit,2M+,Pacific,Los Angeles
2018-12-30,222822.0,Transit Auth of River City,Transit Auth of River City,"500,000-1.99M",East Central,Louisville
2018-12-30,318894.0,Montgomery County Ride-On,Montgomery County Ride-On,2M+,South-Atlantic,Washington D.C.
2018-12-30,182384.0,Santa Monica's Big Blue Bus,Santa Monica's Big Blue Bus,2M+,Pacific,Los Angeles
2018-12-30,78581.0,Trinity Metro,Trinity Metro,2M+,West Central,Dallas
2018-12-30,227291.0,Hampton Roads Transit,Hampton Roads Transit,"500,000-1.99M",South-Atlantic,Hampton Roads
2018-12-30,150472.0,San Mateo County Tran Dist,San Mateo County Tran Dist,2M+,Pacific,SF Bay Area
2018-12-30,32538.0,Minnesota Valley Transit Auth,Minnesota Valley Transit Auth,2M+,West Central,Minneapolis-Saint Paul
2018-12-30,48976.0,Champaign-Urbana MTD,Champaign-Urbana MTD,Under 500k,East Central,Champaign-Urbana
2018-12-30,24909.0,Denton County Transportation Auth,Denton County Transportation Auth,Under 500k,West Central,Dallas
2018-12-30,26773.0,Eastern Contra Costa Tr Auth,Eastern Contra Costa Tr Auth,Under 500k,Pacific,SF Bay Area
2018-12-30,44608.0,Tr Auth of Northern Kentucky,Tr Auth of Northern Kentucky,"500,000-1.99M",East Central,Cincinnati
2018-12-30,138456.0,Greater Dayton Regional TA,Greater Dayton Regional TA,"500,000-1.99M",East Central,Dayton
2018-12-30,687670.0,VIA Metropolitan Transit,VIA Metropolitan Transit,"500,000-1.99M",West Central,San Antonio
2018-12-30,2167538.0,MTA Bus Company,MTA Bus Company,2M+,Mid-Atlantic,NYC
2018-12-30,5880489.0,Los Angeles County MTA,Los Angeles County MTA,2M+,Pacific,Los Angeles
2018-12-30,509262.0,Utah Transit Authority,Utah Transit Authority,"500,000-1.99M",Mountain,Salt Lake City
2018-12-30,227349.0,Rhode Island Public TA,Rhode Island Public TA,Under 500k,New England,Providence
2018-12-30,887919.0,Metra,Metra,2M+,East Central,Chicago
2018-12-30,162738.0,Capital District Transp Auth,Capital District Transp Auth,"500,000-1.99M",Mid-Atlantic,Albany
2018-12-30,600900.0,Alameda-Contra Costa TD,Alameda-Contra Costa TD,2M+,Pacific,SF Bay Area
2018-12-30,401807.0,Niagara Frontier Trp Auth,Niagara Frontier Trp Auth,"500,000-1.99M",Mid-Atlantic,Buffalo
2018-12-30,1350315.0,Metro Tr Auth of Harris Co,Metro Tr Auth of Harris Co,2M+,West Central,Houston
2018-12-30,1465276.0,Maryland Transit Admin,Maryland Transit Admin,2M+,South-Atlantic,Baltimore
2018-12-30,106345.0,"Metro Transit, City of Madison","Metro Transit, City of Madison",Under 500k,East Central,Madison
2018-12-30,6080606.0,Chicago Transit Authority,Chicago Transit Authority,2M+,East Central,Chicago
2018-12-30,562395.0,Orange County Transp Auth,Orange County Transp Auth,2M+,Pacific,Los Angeles
2018-12-30,13961.0,Tompkins Consol Area Transit,Tompkins Consol Area Transit,Under 500k,Mid-Atlantic,Ithaca
2018-12-30,4885.0,LAKETRAN,LAKETRAN,"500,000-1.99M",East Central,Cleveland
2018-12-30,93195.0,GoDurham Transit,GoDurham Transit,Under 500k,South-Atlantic,Raleigh
2018-12-30,1387988.0,Regional Trp District,Regional Trp District,2M+,Mountain,Denver
2018-12-30,116013.0,Riverside Transit Agency,Riverside Transit Agency,"500,000-1.99M",Pacific,Los Angeles
2018-12-30,137024.0,Fairfax County Dept of Transp,Fairfax County Dept of Transp,2M+,South-Atlantic,Washington D.C.
2018-12-30,240505.0,Caltrain,Caltrain,2M+,Pacific,SF Bay Area
2018-12-30,1582929.0,Miami-Dade Transit Agency,Miami-Dade Transit Agency,2M+,South-Atlantic,Miami
2018-12-30,91352.0,GoRaleigh,GoRaleigh,"500,000-1.99M",South-Atlantic,Raleigh
2018-12-30,27020.0,Prince Georges County Transp,Prince Georges County Transp,2M+,South-Atlantic,Washington D.C.
2018-12-30,429652.0,Greater Cleveland Reg TA,Greater Cleveland Reg TA,"500,000-1.99M",East Central,Cleveland
2018-12-30,376820.0,Sacramento Reg Tr Dist,Sacramento Reg Tr Dist,"500,000-1.99M",Pacific,Sacramento
2018-12-30,235681.0,Rochester Genesee RTA,Rochester Genesee RTA,"500,000-1.99M",Mid-Atlantic,Rochester
2018-12-30,52744673.0,MTA New York City Transit,MTA New York City Transit,2M+,Mid-Atlantic,NYC
2018-12-30,266638.0,Central Ohio Transit Auth,Central Ohio Transit Auth,"500,000-1.99M",East Central,Columbus
2018-12-30,136091.0,Pierce Transit,Pierce Transit,2M+,Pacific,Seattle
2018-12-30,33169.0,PRTC Omni-Ride,PRTC Omni-Ride,2M+,South-Atlantic,Washington D.C.
2018-12-30,2900000.0,San Francisco Muni Rwy,San Francisco Muni Rwy,2M+,Pacific,SF Bay Area
2018-12-30,26983.0,SunRail,SunRail,"500,000-1.99M",South-Atlantic,Orlando
2018-12-30,605707.0,City of Phoenix PTD,City of Phoenix PTD,2M+,Mountain,Phoenix
2018-12-30,19352.0,Yolo County Transportation District,Yolo County Transportation District,"500,000-1.99M",Pacific,Sacramento
2018-12-30,114824.0,Lane Transit District ,Lane Transit District ,Under 500k,Pacific,Eugene
2018-12-30,234327.0,Hillsborough Area Reg TA,Hillsborough Area Reg TA,2M+,South-Atlantic,Tampa
2018-12-30,88423.0,Interurban Transit Partnership,Interurban Transit Partnership,"500,000-1.99M",East Central,Grand Rapids
2018-12-30,79992.0,Unitrans,Unitrans,Under 500k,Pacific,Sacramento
2018-12-30,177874.0,Southwest Ohio RTA,Southwest Ohio RTA,"500,000-1.99M",East Central,Cincinnati
2018-12-30,338709.0,City of Detroit Dept of Trp,City of Detroit Dept of Trp,2M+,East Central,Detroit
2018-12-30,386471.0,Regional Transit Auth,Regional Transit Auth,"500,000-1.99M",West Central,New Orleans
2018-12-30,1338718.0,Dallas Area Rapid Transit,Dallas Area Rapid Transit,2M+,West Central,Dallas
2018-12-30,42768.0,Northern IN Commuter TD,Northern IN Commuter TD,2M+,East Central,Chicago
2018-12-30,967156.0,City & Cnty of Honolulu DOTS,City & Cnty of Honolulu DOTS,"500,000-1.99M",Pacific,Oahu
2018-12-30,140055.0,Greater Richmond Transit Company,Greater Richmond Transit Company,"500,000-1.99M",South-Atlantic,Richmond
2018-12-30,208455.0,City of Tucson MTS,City of Tucson MTS,"500,000-1.99M",Mountain,Tucson
2018-12-30,2196672.0,Metro Atlanta Rapid Tr Auth,Metro Atlanta Rapid Tr Auth,2M+,South-Atlantic,Atlanta
2018-12-30,74080.0,METRO Regional Transit Authority,METRO Regional Transit Authority,"500,000-1.99M",East Central,Cleveland
2018-12-30,111983.0,Delaware Transit Corp,Delaware Transit Corp,2M+,South-Atlantic,Delaware
2018-12-30,1858288.0,King County Dept of Trp,King County Dept of Trp,2M+,Pacific,Seattle
2018-12-30,431426.0,Milwaukee County Tr Sys,Milwaukee County Tr Sys,"500,000-1.99M",East Central,Milwaukee County
2018-12-30,629509.0,Sound Transit,Sound Transit,2M+,Pacific,Seattle
2018-12-30,6328.0,City of Redondo Beach,City of Redondo Beach,2M+,Pacific,Los Angeles
2018-12-30,174253.0,Foothill Transit,Foothill Transit,2M+,Pacific,Los Angeles
2018-12-30,417577.0,Charlotte Area Transit,Charlotte Area Transit,"500,000-1.99M",South-Atlantic,Charlotte
2018-12-30,2192927.0,MTA Long Island Rail Road,MTA Long Island Rail Road,2M+,Mid-Atlantic,NYC
2018-12-30,213369.0,Jacksonville Transp Auth,Jacksonville Transp Auth,"500,000-1.99M",South-Atlantic,Jacksonville
2018-12-30,51794.0,Ann Arbor Transportation Auth,Ann Arbor Transportation Auth,Under 500k,East Central,Ann Arbor
2018-12-30,5254992.0,Massachusetts Bay Tr Auth,Massachusetts Bay Tr Auth,2M+,New England,Boston
2018-12-30,206891.0,Kansas City Area Trp Auth,Kansas City Area Trp Auth,"500,000-1.99M",West Central,Kansas City
2018-12-30,90485.0,Clark Co Pub Trp Benefit Area,Clark Co Pub Trp Benefit Area,"500,000-1.99M",Pacific,Vancouver
2018-12-30,66269.0,District Dept of Transp,District Dept of Transp,2M+,South-Atlantic,Washington D.C.
2018-12-30,4709056.0,Southeastern Penn TA,Southeastern Penn TA,2M+,Mid-Atlantic,Philadelphia
2018-12-30,19823.0,San Joaquin Reg Rail Comm,San Joaquin Reg Rail Comm,Under 500k,Pacific,SF Bay Area
2018-12-30,140170.0,MTA Staten Island Railway,MTA Staten Island Railway,2M+,Mid-Atlantic,NYC
2018-12-30,247314.0,Pinellas Suncoast Tran Auth,Pinellas Suncoast Tran Auth,2M+,South-Atlantic,Tampa
2018-12-30,64328.0,Kitsap Transit,Kitsap Transit,Under 500k,Pacific,Seattle
2018-12-30,23332.0,Livermore/Amador Valley TA,Livermore/Amador Valley TA,"500,000-1.99M",Pacific,SF Bay Area
2018-12-30,1523970.0,Tri-County Metro Trp Dist,Tri-County Metro Trp Dist,"500,000-1.99M",Pacific,Portland
2018-12-30,198373.0,Spokane Transit Authority,Spokane Transit Authority,Under 500k,Pacific,Spokane
2018-12-30,38688.0,Detroit Transp Corp/DPM,Detroit Transp Corp/DPM,2M+,East Central,Detroit
2018-12-30,9047.0,Ventura County Transp Comm,Ventura County Transp Comm,Under 500k,Pacific,Ventura County
2018-12-30,165681.0,Indianapolis Public Trp Corp,Indianapolis Public Trp Corp,"500,000-1.99M",East Central,Indianapolis
2018-12-30,57409.0,Virginia Railway Express,Virginia Railway Express,2M+,South-Atlantic,Washington D.C.
2018-12-30,205084.0,Port Authority Transit Corp,Port Authority Transit Corp,2M+,Mid-Atlantic,Philadelphia
2018-12-30,929780.0,Port Auth of Allegheny Co,Port Auth of Allegheny Co,"500,000-1.99M",Mid-Atlantic,Pittsburgh
2018-12-30,410334.0,Santa Clara Valley Trp Auth,Santa Clara Valley Trp Auth,"500,000-1.99M",Pacific,SF Bay Area
2018-12-30,10487.0,City of Fairfax CUE Bus,City of Fairfax CUE Bus,2M+,South-Atlantic,Washington D.C.
2018-12-30,53377.0,San Joaquin Reg Trans Dist,San Joaquin Reg Trans Dist,Under 500k,Pacific,Stockton
2018-12-30,45578.0,Water Emergency Tr Auth,Water Emergency Tr Auth,2M+,Pacific,SF Bay Area
2018-12-30,67400.0,Lee Tran ,Lee Tran ,"500,000-1.99M",South-Atlantic,Fort Myers
2018-12-30,54321.0,Santa Cruz Metro Transit Dist,Santa Cruz Metro Transit Dist,Under 500k,Pacific,Santa Cruz
2018-12-30,71593.0,Transit Auth Lexington-Fayette,Transit Auth Lexington-Fayette,Under 500k,East Central,Lexington
2018-12-30,1487631.0,MTA Metro-North Railroad,MTA Metro-North Railroad,2M+,Mid-Atlantic,NYC
2018-12-30,600380.0,Bi-State Dev Agency,Bi-State Dev Agency,2M+,West Central,St. Louis
2018-12-30,49136.0,Monterey-Salinas Transit,Monterey-Salinas Transit,Under 500k,Pacific,Monterey
2018-12-30,21415.0,GoTriangle,GoTriangle,Under 500k,South-Atlantic,Raleigh
2018-12-30,39126.0,Marin County Transit District,Marin County Transit District,Under 500k,Pacific,SF Bay Area
2018-12-30,111651.0,RTC of Washoe County,RTC of Washoe County,Under 500k,Mountain,Reno
2018-12-30,1254464.0,San Diego Metrop Transit System,San Diego Metrop Transit System,2M+,Pacific,San Diego
2018-12-30,43141.0,Charleston Area RTA,Charleston Area RTA,"500,000-1.99M",South-Atlantic,Charleston
2018-12-30,35231.0,Santa Clarita Transit,Santa Clarita Transit,Under 500k,Pacific,Los Angeles
2018-12-30,68561.0,"Golden Gate Bridge, Hwy & TD","Golden Gate Bridge, Hwy & TD",2M+,Pacific,SF Bay Area
2018-12-30,466571.0,Broward County Transit,Broward County Transit,2M+,South-Atlantic,Miami
2018-12-30,40624.0,Salem-Keizer Transit,Salem-Keizer Transit,Under 500k,Pacific,Salem-Keizer
2018-12-30,31171.0,Madison County Trans Dist,Madison County Trans Dist,2M+,East Central,St. Louis
2018-12-30,91852.0,South Florida RTA (Tri-Rail),South Florida RTA (Tri-Rail),2M+,South-Atlantic,Miami
2018-12-30,4769055.0,New Jersey Transit Corp,New Jersey Transit Corp,2M+,Mid-Atlantic,New Jersey
2018-12-30,45274.0,Gardena Municipal Bus Lines,Gardena Municipal Bus Lines,2M+,Pacific,Los Angeles
2018-12-30,147556.0,Snohomish County PTBA,Snohomish County PTBA,2M+,Pacific,Seattle
2018-12-30,1075287.0,Metro Transit,Metro Transit,2M+,West Central,Minneapolis-Saint Paul
2018-12-30,39188.0,Modesto Area Express,Modesto Area Express,Under 500k,Pacific,Modesto
2018-12-30,134348.0,North County Transit District,North County Transit District,2M+,Pacific,San Diego
2018-12-30,70952.0,Culver CityBus,Culver CityBus,2M+,Pacific,Los Angeles
2018-12-30,43525.0,"Arlington County, Virginia","Arlington County, Virginia",2M+,South-Atlantic,Washington D.C.
2018-12-30,1154425.0,RTC of Southern Nevada,RTC of Southern Nevada,"500,000-1.99M",Mountain,Las Vegas
2018-12-30,387706.0,New York City DOT,New York City DOT,2M+,Mid-Atlantic,NYC
2018-12-30,171148.0,Southern California RRA,Southern California RRA,2M+,Pacific,Los Angeles
2018-12-30,140851.0,OMNITRANS,OMNITRANS,"500,000-1.99M",Pacific,Los Angeles
2018-12-30,5246796.0,Washington Metro Area TA,Washington Metro Area TA,2M+,South-Atlantic,Washington D.C.
2018-12-30,153466.0,Metropolitan Transit Auth,Metropolitan Transit Auth,"500,000-1.99M",East Central,Nashville
2018-12-30,395965.0,Capital Metropolitan Trp Auth,Capital Metropolitan Trp Auth,"500,000-1.99M",West Central,Austin
2018-12-30,487557.0,Central Florida RTA,Central Florida RTA,"500,000-1.99M",South-Atlantic,Orlando
2018-12-30,53199.0,Torrance Transit System,Torrance Transit System,2M+,Pacific,Los Angeles
2018-12-30,1738602.0,San Francisco Bay Area RTD,San Francisco Bay Area RTD,2M+,Pacific,SF Bay Area
2018-12-30,43936.0,Central Contra Costa TA,Central Contra Costa TA,"500,000-1.99M",Pacific,SF Bay Area
2019-01-06,7389400.0,Los Angeles County MTA,Los Angeles County MTA,2M+,Pacific,Los Angeles
2019-01-06,5576954.0,Southeastern Penn TA,Southeastern Penn TA,2M+,Mid-Atlantic,Philadelphia
2019-01-06,1912343.0,Tri-County Metro Trp Dist,Tri-County Metro Trp Dist,"500,000-1.99M",Pacific,Portland
2019-01-06,225248.0,Foothill Transit,Foothill Transit,2M+,Pacific,Los Angeles
2019-01-06,1727980.0,Metro Tr Auth of Harris Co,Metro Tr Auth of Harris Co,2M+,West Central,Houston
2019-01-06,119826.0,Clark Co Pub Trp Benefit Area,Clark Co Pub Trp Benefit Area,"500,000-1.99M",Pacific,Vancouver
2019-01-06,65502.0,Torrance Transit System,Torrance Transit System,2M+,Pacific,Los Angeles
2019-01-06,73895.0,Virginia Railway Express,Virginia Railway Express,2M+,South-Atlantic,Washington D.C.
2019-01-06,40697.0,PRTC Omni-Ride,PRTC Omni-Ride,2M+,South-Atlantic,Washington D.C.
2019-01-06,167010.0,"Metro Transit, City of Madison","Metro Transit, City of Madison",Under 500k,East Central,Madison
2019-01-06,534282.0,Central Florida RTA,Central Florida RTA,"500,000-1.99M",South-Atlantic,Orlando
2019-01-06,220438.0,Port Authority Transit Corp,Port Authority Transit Corp,2M+,Mid-Atlantic,Philadelphia
2019-01-06,1330253.0,City & Cnty of Honolulu DOTS,City & Cnty of Honolulu DOTS,"500,000-1.99M",Pacific,Oahu
2019-01-06,278774.0,Rochester Genesee RTA,Rochester Genesee RTA,"500,000-1.99M",Mid-Atlantic,Rochester
2019-01-06,1744339.0,Regional Trp District,Regional Trp District,2M+,Mountain,Denver
2019-01-06,462879.0,Charlotte Area Transit,Charlotte Area Transit,"500,000-1.99M",South-Atlantic,Charlotte
2019-01-06,87234.0,METRO Regional Transit Authority,METRO Regional Transit Authority,"500,000-1.99M",East Central,Cleveland
2019-01-06,6623422.0,Massachusetts Bay Tr Auth,Massachusetts Bay Tr Auth,2M+,New England,Boston
2019-01-06,1633971.0,San Diego Metrop Transit System,San Diego Metrop Transit System,2M+,Pacific,San Diego
2019-01-06,3926614.0,San Francisco Muni Rwy,San Francisco Muni Rwy,2M+,Pacific,SF Bay Area
2019-01-06,479261.0,Milwaukee County Tr Sys,Milwaukee County Tr Sys,"500,000-1.99M",East Central,Milwaukee County
2019-01-06,72056.0,Lee Tran ,Lee Tran ,"500,000-1.99M",South-Atlantic,Fort Myers
2019-01-06,1227582.0,RTC of Southern Nevada,RTC of Southern Nevada,"500,000-1.99M",Mountain,Las Vegas
2019-01-06,1716384.0,Maryland Transit Admin,Maryland Transit Admin,2M+,South-Atlantic,Baltimore
2019-01-06,889405.0,Utah Transit Authority,Utah Transit Authority,"500,000-1.99M",Mountain,Salt Lake City
2019-01-06,24086.0,Yolo County Transportation District,Yolo County Transportation District,"500,000-1.99M",Pacific,Sacramento
2019-01-06,151573.0,Fairfax County Dept of Transp,Fairfax County Dept of Transp,2M+,South-Atlantic,Washington D.C.
2019-01-06,2279738.0,San Francisco Bay Area RTD,San Francisco Bay Area RTD,2M+,Pacific,SF Bay Area
2019-01-06,1163016.0,Port Auth of Allegheny Co,Port Auth of Allegheny Co,"500,000-1.99M",Mid-Atlantic,Pittsburgh
2019-01-06,1117536.0,Metra,Metra,2M+,East Central,Chicago
2019-01-06,408051.0,Long Beach Transit,Long Beach Transit,2M+,Pacific,Los Angeles
2019-01-06,50773.0,Marin County Transit District,Marin County Transit District,Under 500k,Pacific,SF Bay Area
2019-01-06,161989.0,MTA Staten Island Railway,MTA Staten Island Railway,2M+,Mid-Atlantic,NYC
2019-01-06,522136.0,Capital Metropolitan Trp Auth,Capital Metropolitan Trp Auth,"500,000-1.99M",West Central,Austin
2019-01-06,61736.0,Central Contra Costa TA,Central Contra Costa TA,"500,000-1.99M",Pacific,SF Bay Area
2019-01-06,185803.0,Metropolitan Transit Auth,Metropolitan Transit Auth,"500,000-1.99M",East Central,Nashville
2019-01-06,27154.0,Tompkins Consol Area Transit,Tompkins Consol Area Transit,Under 500k,Mid-Atlantic,Ithaca
